family,genus,species,established_FL ,native
Oleaceae,Ligustrum,sp.,1,0
Ruscaceae,Liriope,spicata,1,0
Sapindaceae,Litchi,chinensis,0,0
Arecaceae,Livistona,chinensis,1,0
Arecaceae,Livistona,mariae,0,0
Arecaceae,Livistona,sp.#1,0,0
Arecaceae,Livistona,sp.#2,,0
Plantaginaceae,Lophospermum/Rhodochiton,NA,0,0
Onagraceae,Ludwigia,peruviana,1,0
Solanaceae,Lycium,carolinianum,1,1
Fabaceae,Lysiloma,latisiliquum,1,1
Myrsinaceae [Primulaceae],Lysimachia,arvensis,1,0
Proteaceae,Macadamia,sp.,0,0
Fabaceae,Macroptilium,lathyroides,1,0
Malpighiaceae,Malpighia,glabra,,
Calophyllaceae,Mammea,americana,0,0
Anacardiaceae,Mangifera,indica,1,0
Anacardiaceae,Mangifera,odorata,0,0
Anacardiaceae,Mangifera,zeylanica,0,0
Euphorbiaceae,Manihot,sp.,1,0
Sapotaceae,Manilkara,zapota,1,0
Plantaginaceae,Mecardonia,procumbens,1,1
Fabaceae,Medicago,lupulina,1,0
Myrtaceae,Melaleuca [Callistemon],viminalis,1,0
Asteraceae,Melanthera,nivea,1,1
Sapindaceae,Melicoccus ,bijugatus,1,0
Fabaceae,Melilotus,albus,1,0
Poaceae,Melinis,repens,1,0
Apocynaceae,Metastelma [Cynanchum],blodgettii,1,1
Anacardiaceae,Metopium,toxiferum,1,1
Melastomataceae,Micona [Tetrazygia],bicolor,1,1
Asteraceae,Mikania,micrantha/scandens,1,
Fabaceae,Millettia [Pongamia],pinnata,1,0
Sapotaceae,Mimusops ,balata [commersonii]/coriacea,,
Sapotaceae,Mimusops ,elengi,1,0
Cucurbitaceae,Momordica,charantia,1,0
Araceae,Monstera,deliciosa,1,0
Myricaceae,Morella [Myrica],cerifera,1,1
Rubiaceae,Morinda,royoc,1,1
Fabaceae,Mucuna,pruriens,1,0
Commelinaceae,Murdannia,nudiflora,1,0
Rutaceae,Murraya,koenigii,0,0
Rutaceae,Murraya,paniculata,1,0
Musaceae,Musa,x paradisiaca,1,0
Myrtaceae,Myrcianthes,fragrans,1,1
Myrtaceae,Myrciaria ,cauliflora,0,0
Myrtaceae,Myrciaria ,floribunda,0,0
Myrtaceae,Myrciaria ,glomerata,0,0
Myrsinaceae,Myrsine,cubana,1,1
ZZUnkFam,NA,NA,,
ZZUnkFam,NA,NA,,
ZZUnkFam,NA,NA,,
ZZUnkFam,NA,NA,,
ZZUnkFam,NA,NA,,
Hydrophyllaceae,Nama,jamaicensis,1,0
Rubiaceae,Nauclea ,latifolia,0,0
Bromeliaceae,Neoregelia,carolinae,0,0
Bromeliaceae,Neoregelia,cruenta,0,0
Bromeliaceae,Neoregelia,johannis,,0
Bromeliaceae,Neoregelia,schultsiana,,0
Nephrolepidaceae [Dryopteridaceae],Nephrolepis,brownei,1,0
Nephrolepidaceae [Dryopteridaceae],Nephrolepis,cordifolia,1,0
Nephrolepidaceae [Dryopteridaceae],Nephrolepis,exaltata,1,1
Nephrolepidaceae [Dryopteridaceae],Nephrolepis,falcata,1,0
Fabaceae,Neptunia,pubescens,1,1
Poaceae,Neyraudia,reynaudiana,1,0
Solanaceae,Nicandra,physaloides,1,0
Solanaceae,Nicotiana,tabacum,1,0
Lamiaceae,Ocimum ,basilicum,1,0
Acanthaceae,Odontonema,cuspidatum [strictum],1,0
Orchidaceae,Oeceoclades,maculata,1,0
Onagraceae,Oenothera,laciniata,1,1
Rubiaceae,Oldenlandia,corymbosa,1,0
Orchidaceae,Oncidium,altissimum/sphacelatum,,
Asparagaceae,Ophiopogon,japonicum,0,0
Cactaceae,Opuntia,cochinellifera,1,0
Cactaceae,Opuntia,stricta,1,1
Bignoniaceae,Oroxylum,indicum,0,0
Oxalidaceae,Oxalis,corniculata,1,1
Oxalidaceae,Oxalis,debilis,1,0
Oxalidaceae,Oxalis,latifolia,1,0
Bombacaceae,Pachira,aquatica,0,0
Bombacaceae,Pachira,glabra,0,0
ZZUnkFam,Pandanus?,NA,,
Urticaceae,Parietaria,floridana,1,1
Urticaceae,Parietaria,praetermissa,1,1
Asteraceae,Parthenium,hysterophorus,1,0
Vitaceae,Parthenocissus,quinquefolia,1,1
Poaceae,Paspalum,blodgetii,1,1
Poaceae,Paspalum,caespitosum,1,1
Poaceae,Paspalum,conjugatum,1,1
Poaceae,Paspalum,fimbriatum,1,0
Poaceae,Paspalum,malacophyllum,1,0
Poaceae,Paspalum,notatum,1,0
Poaceae,Paspalum,setaceum,1,1
Passifloraceae,Passiflora,biflora,1,0
Passifloraceae,Passiflora,edulis,1,0
Passifloraceae,Passiflora,laurifolia hybrid,0,0
Passifloraceae,Passiflora,suberosa,1,1
Asteraceae,Pectis,glaucescens,1,1
Asteraceae,Pectis,prostrata,1,1
Lauraceae,Persea,americana,1,0
Lauraceae,Persea,borbonia,1,1
Lauraceae,Persea,palustris,1,1
Polygonaceae,Persicaria [Polygonum],punctatum,1,1
Orchidaceae,Phalaenopsis,amabilis,0,0
Orchidaceae,Phalaenopsis,sp.2,0,0
Orchidaceae,Phalaenopsis,sp.3,0,0
Fabaceae,Phaseolus,vulgaris,1,0
Araceae,Philodendron,bipinnifidum 'Xanadu',0,0
Araceae,Philodendron,domesticum / hastatum,0,0
Araceae,Philodendron,erubescens / hastatum,0,0
Araceae,Philodendron,selloum,0,0
Polypodiaceae,Phlebodium,aureum,1,1
Arecaceae,Phoenix,canariensis,0,0
Arecaceae,Phoenix,reclinata,1,0
Arecaceae,Phoenix,roebellini,0,0
Arecaceae,Phoenix,sp.,0,0
Arecaceae,Phoenix,sylvestris/dactylifera,,0
Verbenaceae,Phylla,nodiflora,1,1
Phyllanthaceae,Phyllanthus,amarus,1,0
Phyllanthaceae,Phyllanthus,pentaphyllus,1,1
Phyllanthaceae,Phyllanthus,tenellus,1,0
Solanaceae,Physalis,angulata,1,1
Solanaceae,Physalis,walteri,1,1
Picramniaceae,Picramnia,pentandra,1,1
Urticaceae,Pilea,microphylla,1,1
Myrtaceae,Pimenta,dioica,1,0
Myrtaceae,Pimenta,racemosa,0,0
Pinaceae,Pinus,elliotii densa,1,1
Turneraceae,Piriqueta,cistoides caroliniana,1,1
Fabaceae,Piscidia,piscipula,1,1
Fabaceae,Pithecellobium,dulce,1,0
Pittosporaceae,Pittosporum,pentandrum,1,0
Pittosporaceae,Pittosporum,tobira,1,0
Asteraceae,Pityopsis,graminifolia,1,1
Pteridaceae Adiantoidae,Pityrogramma,trifoliata,1,1
Plantaginaceae,Plantago,major,1,0
Plantaginaceae,Plantago,virginica,1,1
Polypodiaceae,Platycerium,bifurcatum,1,0
Polypodiaceae,Pleopeltis [Polypodium],michauxiana [polypodiodes],1,1
Asteraceae,Pluchea,carolinensis,1,0
Asteraceae,Pluchea,odorata,1,1
Plumbaginaceae,Plumbago,auriculata,1,0
Plumbaginaceae,Plumbago,zeylanica [scandens],1,1
Apocynaceae,Plumeria,rubra,0,0
Podocarpaceae,Podocarpus,macrophyllus,1,0
Fabaceae,Poitea [Sabinia],carinalis,0,0
Tetrachondraceae,Polypremum,procumbens,1,1
Portulacaceae,Portulaca,oleracea,1,1
Sapotaceae,Pouteria,campechiana,1,0
Sapotaceae,Pouteria,hypoglauca,0,0
Sapotaceae,Pouteria,sapota,0,0
Verbenaceae,Priva,lappulacea,1,1
Orchidaceae,Prosthechea,radiata,0,0
Rosaceae,Prunus,myrtifolia,1,1
Bombacaceae,Pseudobombax,ellipticum,0,0
Arecaceae,Pseudophoenix,lediniana,0,0
Myrtaceae,Psidium ,cattleianum ,1,0
Myrtaceae,Psidium ,friedrichsthalianum ,0,0
Myrtaceae,Psidium ,guajava,1,0
Psilotaceae,Psilotum,nudum,1,1
Dennstaedtiaceae,Pteridium,aquilinum,1,1
Pteridaceae,Pteris,vittata,1,0
Asteraceae,Pterocaulon,pycnostachyum,1,1
Arecaceae,Ptychosperma,macarthurii,1,0
Arecaceae,Ptychosperma,sp.,,0
Fabaceae,Pueraria,montana lobata,1,0
ZZUnkFam,Punica or Myrtus?,NA,,
Brassicaceae,Quadrella [Capparis],jamaicensis,1,1
Fagaceae,Quercus,virginiana,1,1
Rubiaceae,Randia,aculeata,1,1
Arecaceae,Raphis,excelsa,0,0
Strelitziaceae,Ravenala,madagascariensis,0,0
